id,duration(s)
0,103
1661046181.648,126
1661046196.634,121
1661046211.632,141
1661046226.637,112
1661046241.634,180
1661046256.634,140
1661046271.633,148
1661046286.637,135
1661046301.635,154
1661046316.633,137
1661046331.632,97
1661046346.632,115
1661046361.637,176
1661046376.637,116
1661046391.634,91
1661046406.634,129
1661046421.633,72
1661046436.636,105
1661046451.634,149
1661046466.634,147
1661046481.634,117
1661046496.636,111
1661046511.631,139
1661046526.637,158
1661046541.637,116
1661046556.631,138
1661046571.634,131
1661046586.632,162
1661046601.632,161
1661046616.631,152
1661046631.63,144
1661046646.636,143
1661046661.631,146
1661046676.632,110
1661046691.633,108
1661046706.63,167
1661046721.63,127
1661046736.631,143
1661046751.632,135
1661046766.634,92
1661046781.634,133
1661046796.637,155
1661046811.635,161
1661046826.632,145
1661046841.636,114
1661046856.632,143
1661046871.633,161
1661046886.636,141
1661046901.63,144
1661046916.635,149
1661046931.635,146
1661046946.63,166
1661046961.642,153
1661046976.647,132
1661046991.644,136
1661047006.647,154
1661047021.646,136
1661047036.647,110
1661047051.645,155
1661047066.644,143
1661047081.645,101
1661047096.645,215
1661047111.646,128
1661047126.648,192
1661047141.644,146
1661047156.649,144
1661047171.65,73
